"team_alpha3","url_team","kit_shirt","kit_away","kit_shorts","kit_socks"
"CMR","/wiki/Cameroon_national_football_team","#007B5E","#FFDD00","#FF0000","#FFDD00"
"SEN","/wiki/Senegal_national_football_team","#FFFFFF","#168E5D","#FFFFFF","#FFFFFF"
"DZA","/wiki/Algeria_national_football_team","#FFFFFF","#029E77","#FFFFFF","#FFFFFF"
"MLI","/wiki/Mali_national_football_team","#FFFF00","#FFFFFF","#FFFF00","#FFFF00"
"TUN","/wiki/Tunisia_national_football_team","#FFFFFF","#FF0000","#FFFFFF","#FFFFFF"
"BFA","/wiki/Burkina_Faso_national_football_team","#006000","#FFFFFF","#1ea245","#1ea245"
"GIN","/wiki/Guinea_national_football_team","#FF0000","#FFFF00","#FFFF00","#008040"
"COM","/wiki/Comoros_national_football_team","#116F37","#FFFFFF","#116F37","#008000"
"GAB","/wiki/Gabon_national_football_team","#FFFF00","#FFFFFF","#004488","#0F22CA"
"GMB","/wiki/Gambia_national_football_team","#FF0000","#","#","#008000"
"EGY","/wiki/Egypt_national_football_team","#FF0000","#FFFFFF","#FFFFFF","#000000"
"GHA","/wiki/Ghana_national_football_team","#FF0000","#FFFFFF","#FF0000","#FF0000"
"GNQ","/wiki/Equatorial_Guinea_national_football_team","#FF0000","#FFFFFF","#FF0000","#FF0000"
"ZWE","/wiki/Zimbabwe_national_football_team","#FFFF00","#008000","#FFF200","#FFF200"
"CIV","/wiki/Ivory_Coast_national_football_team","#FFA503","#FFFFFF","#FFA503","#FFA503"
"MAR","/wiki/Morocco_national_football_team","#FF0000","#FFFFFF","#067540","#FF0000"
"NGA","/wiki/Nigeria_national_football_team","#FFFFFF","#171717","#1D7E12","#A7F192"
"SDN","/wiki/Sudan_national_football_team","#FF0000","#FFFFFF","#FF0000","#FF0000"
"MWI","/wiki/Malawi_national_football_team","#FF0000","#","#FF0000","#FF0000"
"ETH","/wiki/Ethiopia_national_football_team","#008000","#FFFF00","#FFFF00","#FF0000"
"MRT","/wiki/Mauritania_national_football_team","#008000","#FFFFFF","#FFFF00","#01924d"
"GNB","/wiki/Guinea-Bissau_national_football_team","#FF0000","#168E5D","#FF0000","#FF0000"
"CPV","/wiki/Cape_Verde_national_football_team","#3957FF","#FFFFFF","#3957FF","#3957FF"
"SLE","/wiki/Sierra_Leone_national_football_team","#0000ea","#","#0542E2","#0542E2"
