"year","teams","url","url_comp_logo","team","method_ofqualification","date_ofqualification","finalsappearance","lastappearance","previous_bestperformance","fifa_rankingat_start_of_event","url_team","team_alpha3"
2021,24,"https://en.wikipedia.org/wiki/2021_Africa_Cup_of_Nations","//upload.wikimedia.org/wikipedia/en/thumb/f/fd/2021_Africa_Cup_of_Nations_logo.png/300px-2021_Africa_Cup_of_Nations_logo.png","Cameroon","Hosts / Group Fwinners","8 January 2019","20th","2019","Winners (1984, 1988, 2000, 2002, 2017)",NA,"/wiki/Cameroon_national_football_team","CMR"
2021,24,"https://en.wikipedia.org/wiki/2021_Africa_Cup_of_Nations","//upload.wikimedia.org/wikipedia/en/thumb/f/fd/2021_Africa_Cup_of_Nations_logo.png/300px-2021_Africa_Cup_of_Nations_logo.png","Senegal","Group I winners","15 November 2020","16th","2019","Runners-up (2002, 2019)",NA,"/wiki/Senegal_national_football_team","SEN"
2021,24,"https://en.wikipedia.org/wiki/2021_Africa_Cup_of_Nations","//upload.wikimedia.org/wikipedia/en/thumb/f/fd/2021_Africa_Cup_of_Nations_logo.png/300px-2021_Africa_Cup_of_Nations_logo.png","Algeria","Group H winners","16 November 2020","19th","2019","Winners (1990, 2019)",NA,"/wiki/Algeria_national_football_team","DZA"
2021,24,"https://en.wikipedia.org/wiki/2021_Africa_Cup_of_Nations","//upload.wikimedia.org/wikipedia/en/thumb/f/fd/2021_Africa_Cup_of_Nations_logo.png/300px-2021_Africa_Cup_of_Nations_logo.png","Mali","Group A winners","17 November 2020","12th","2019","Runners-up (1972)",NA,"/wiki/Mali_national_football_team","MLI"
2021,24,"https://en.wikipedia.org/wiki/2021_Africa_Cup_of_Nations","//upload.wikimedia.org/wikipedia/en/thumb/f/fd/2021_Africa_Cup_of_Nations_logo.png/300px-2021_Africa_Cup_of_Nations_logo.png","Tunisia","Group J winners","17 November 2020","20th","2019","Winners (2004)",NA,"/wiki/Tunisia_national_football_team","TUN"
2021,24,"https://en.wikipedia.org/wiki/2021_Africa_Cup_of_Nations","//upload.wikimedia.org/wikipedia/en/thumb/f/fd/2021_Africa_Cup_of_Nations_logo.png/300px-2021_Africa_Cup_of_Nations_logo.png","Burkina Faso","Group B winners","24 March 2021","12th","2017","Runners-up (2013)",NA,"/wiki/Burkina_Faso_national_football_team","BFA"
2021,24,"https://en.wikipedia.org/wiki/2021_Africa_Cup_of_Nations","//upload.wikimedia.org/wikipedia/en/thumb/f/fd/2021_Africa_Cup_of_Nations_logo.png/300px-2021_Africa_Cup_of_Nations_logo.png","Guinea","Group A runners-up","24 March 2021","13th","2019","Runners-up (1976)",NA,"/wiki/Guinea_national_football_team","GIN"
2021,24,"https://en.wikipedia.org/wiki/2021_Africa_Cup_of_Nations","//upload.wikimedia.org/wikipedia/en/thumb/f/fd/2021_Africa_Cup_of_Nations_logo.png/300px-2021_Africa_Cup_of_Nations_logo.png","Comoros","Group G runners-up","25 March 2021","1st","None","Debut",NA,"/wiki/Comoros_national_football_team","COM"
2021,24,"https://en.wikipedia.org/wiki/2021_Africa_Cup_of_Nations","//upload.wikimedia.org/wikipedia/en/thumb/f/fd/2021_Africa_Cup_of_Nations_logo.png/300px-2021_Africa_Cup_of_Nations_logo.png","Gabon","Group D runners-up","25 March 2021","8th","2017","Quarter-finals (1996, 2012)",NA,"/wiki/Gabon_national_football_team","GAB"
2021,24,"https://en.wikipedia.org/wiki/2021_Africa_Cup_of_Nations","//upload.wikimedia.org/wikipedia/en/thumb/f/fd/2021_Africa_Cup_of_Nations_logo.png/300px-2021_Africa_Cup_of_Nations_logo.png","Gambia","Group D winners","25 March 2021","1st","None","Debut",NA,"/wiki/Gambia_national_football_team","GMB"
