"year","squad","no","pos","player","date_of_birth_age","caps","goals","club","player_url","club_fa_url","club_fa","club_2","club_country","club_country_flag","captain","player_original","nat_team","club_country_harm","nat_team_alpha3","club_alpha3"
2021,"Burkina Faso",NA,"GK","Hervé Koffi","(1996-10-16)16 October 1996 (aged 25)","36","0","Charleroi","/wiki/Herv%C3%A9_Koffi","/wiki/Royal_Belgian_Football_Association","Royal Belgian Football Association","Charleroi","Belgium","//upload.wikimedia.org/wikipedia/commons//9/92/Flag_of_Belgium_%28civil%29.svg",FALSE,"Hervé Koffi","Burkina Faso","Belgium","BFA","BEL"
2021,"Burkina Faso",NA,"GK","Aboubacar Sawadogo","(1989-08-10)10 August 1989 (aged 32)","17","0","Kadiogo","/wiki/Aboubacar_Sawadogo","/wiki/Burkinab%C3%A9_Football_Federation","Burkinabé Football Federation","Kadiogo","Burkina Faso","//upload.wikimedia.org/wikipedia/commons//3/31/Flag_of_Burkina_Faso.svg",FALSE,"Aboubacar Sawadogo","Burkina Faso","Burkina Faso","BFA","BFA"
2021,"Burkina Faso",NA,"GK","Farid Ouédraogo","(1996-12-26)26 December 1996 (aged 25)","2","0","USFA","/wiki/Farid_Ou%C3%A9draogo","/wiki/Burkinab%C3%A9_Football_Federation","Burkinabé Football Federation","USFA","Burkina Faso","//upload.wikimedia.org/wikipedia/commons//3/31/Flag_of_Burkina_Faso.svg",FALSE,"Farid Ouédraogo","Burkina Faso","Burkina Faso","BFA","BFA"
2021,"Burkina Faso",NA,"GK","Kilian Nikiema","(2003-06-22)22 June 2003 (aged 18)","0","0","ADO Den Haag","/wiki/Kilian_Nikiema","/wiki/Royal_Dutch_Football_Association","Royal Dutch Football Association","ADO Den Haag","Netherlands","//upload.wikimedia.org/wikipedia/commons//2/20/Flag_of_the_Netherlands.svg",FALSE,"Kilian Nikiema","Burkina Faso","Netherlands","BFA","NLD"
2021,"Burkina Faso",NA,"DF","Steeve Yago","(1992-12-16)16 December 1992 (aged 29)","55","0","Aris Limassol","/wiki/Steeve_Yago","/wiki/Cyprus_Football_Association","Cyprus Football Association","Aris Limassol","Cyprus","//upload.wikimedia.org/wikipedia/commons//d/d4/Flag_of_Cyprus.svg",FALSE,"Steeve Yago","Burkina Faso","Cyprus","BFA","CYP"
2021,"Burkina Faso",NA,"DF","Issoufou Dayo","(1991-08-06)6 August 1991 (aged 30)","53","5","Nahdat Berkane","/wiki/Issoufou_Dayo","/wiki/Royal_Moroccan_Football_Federation","Royal Moroccan Football Federation","Nahdat Berkane","Morocco","//upload.wikimedia.org/wikipedia/commons//2/2c/Flag_of_Morocco.svg",FALSE,"Issoufou Dayo","Burkina Faso","Morocco","BFA","MAR"
2021,"Burkina Faso",NA,"DF","Patrick Malo","(1992-02-18)18 February 1992 (aged 29)","20","0","Hassania Agadir","/wiki/Patrick_Malo","/wiki/Royal_Moroccan_Football_Federation","Royal Moroccan Football Federation","Hassania Agadir","Morocco","//upload.wikimedia.org/wikipedia/commons//2/2c/Flag_of_Morocco.svg",FALSE,"Patrick Malo","Burkina Faso","Morocco","BFA","MAR"
2021,"Burkina Faso",NA,"DF","Edmond Tapsoba","(1999-02-02)2 February 1999 (aged 22)","16","0","Bayer Leverkusen","/wiki/Edmond_Tapsoba","/wiki/German_Football_Association","German Football Association","Bayer Leverkusen","Germany","//upload.wikimedia.org/wikipedia/en//b/ba/Flag_of_Germany.svg",FALSE,"Edmond Tapsoba","Burkina Faso","Germany","BFA","DEU"
2021,"Burkina Faso",NA,"DF","Issa Kaboré","(2001-05-12)12 May 2001 (aged 20)","15","1","Troyes","/wiki/Issa_Kabor%C3%A9","/wiki/French_Football_Federation","French Football Federation","Troyes","France","//upload.wikimedia.org/wikipedia/en//c/c3/Flag_of_France.svg",FALSE,"Issa Kaboré","Burkina Faso","France","BFA","FRA"
2021,"Burkina Faso",NA,"DF","Oula Abass Traoré","(1995-09-29)29 September 1995 (aged 26)","7","0","Horoya","/wiki/Oula_Abass_Traor%C3%A9","/wiki/Guinean_Football_Federation","Guinean Football Federation","Horoya","Guinea","//upload.wikimedia.org/wikipedia/commons//e/ed/Flag_of_Guinea.svg",FALSE,"Oula Abass Traoré","Burkina Faso","Guinea","BFA","GIN"
